elapsed_seconds,active_workers,runnable_workers,utilization_pct
0.000,16,16,50.00
0.501,16,16,50.00
1.001,16,16,50.00
1.501,16,16,50.00
2.001,16,16,50.00
2.501,16,16,50.00
3.001,16,16,50.00
3.501,16,16,50.00
4.001,16,16,50.00
4.501,16,16,50.00
5.001,16,16,50.00
5.501,16,16,50.00
6.001,16,16,50.00
6.501,16,16,50.00
7.002,16,16,50.00
7.501,16,16,50.00
8.001,16,16,50.00
8.501,16,16,50.00
9.001,16,16,50.00
9.501,16,16,50.00
10.001,16,16,50.00
10.501,16,16,50.00
11.001,16,16,50.00
11.501,16,16,50.00
12.001,16,16,50.00
12.501,16,16,50.00
13.001,16,16,50.00
13.501,16,16,50.00
14.001,16,16,50.00
14.501,16,16,50.00
15.001,16,16,50.00
15.501,16,16,50.00
16.001,16,16,50.00
16.501,16,16,50.00
17.001,16,16,50.00
17.501,16,16,50.00
18.001,16,16,50.00
18.501,16,16,50.00
19.001,16,16,50.00
19.501,16,16,50.00
20.001,16,16,50.00
20.501,16,16,50.00
21.001,16,16,50.00
21.501,16,16,50.00
22.001,16,16,50.00
22.501,16,16,50.00
23.001,16,16,50.00
23.501,16,16,50.00
24.002,16,16,50.00
24.501,16,16,50.00
25.001,16,16,50.00
25.502,16,16,50.00
26.001,16,16,50.00
26.501,16,16,50.00
27.001,16,16,50.00
27.502,16,16,50.00
28.002,16,16,50.00
28.502,16,16,50.00
29.001,16,16,50.00
29.501,16,16,50.00
30.001,16,16,50.00
30.501,16,16,50.00
31.001,16,16,50.00
31.501,16,16,50.00
32.001,16,16,50.00
32.501,16,16,50.00
33.001,16,16,50.00
33.502,16,16,50.00
34.001,16,16,50.00
34.502,16,16,50.00
35.001,16,16,50.00
35.501,16,16,50.00
36.001,16,16,50.00
36.501,16,16,50.00
37.003,16,16,50.00
37.501,16,16,50.00
38.001,16,16,50.00
38.501,16,16,50.00
39.001,16,16,50.00
39.501,16,16,50.00
40.001,16,16,50.00
40.501,16,16,50.00
41.001,16,16,50.00
41.501,16,16,50.00
42.001,16,16,50.00
42.501,16,16,50.00
43.001,16,16,50.00
43.501,16,16,50.00
44.001,16,16,50.00
44.501,16,16,50.00
45.001,16,16,50.00
45.501,16,16,50.00
46.001,16,16,50.00
46.501,16,16,50.00
47.001,16,16,50.00
47.501,16,16,50.00
48.001,16,16,50.00
48.501,16,16,50.00
49.001,16,16,50.00
49.501,16,16,50.00
50.001,16,16,50.00
50.501,16,16,50.00
51.001,16,16,50.00
51.501,16,16,50.00
52.001,16,16,50.00
52.501,16,16,50.00
53.001,16,16,50.00
53.501,16,16,50.00
54.001,16,16,50.00
54.501,16,16,50.00
55.001,16,16,50.00
55.501,16,16,50.00
56.001,16,16,50.00
56.501,16,16,50.00
57.001,16,16,50.00
57.501,16,16,50.00
58.001,16,16,50.00
58.501,16,16,50.00
59.001,16,16,50.00
59.501,16,16,50.00
60.001,16,16,50.00
60.501,16,16,50.00
61.001,16,16,50.00
61.501,16,16,50.00
62.001,16,16,50.00
62.501,16,16,50.00
63.001,16,16,50.00
63.501,16,16,50.00
64.001,16,16,50.00
64.501,16,16,50.00
65.001,16,16,50.00
65.501,16,16,50.00
66.001,16,16,50.00
66.501,16,16,50.00
67.001,16,16,50.00
67.501,16,16,50.00
68.001,16,16,50.00
68.501,16,16,50.00
69.001,16,16,50.00
69.501,16,16,50.00
70.001,16,16,50.00
70.501,16,16,50.00
71.001,16,16,50.00
71.501,16,16,50.00
72.001,16,16,50.00
72.501,16,16,50.00
73.001,16,16,50.00
73.501,16,16,50.00
74.001,16,16,50.00
74.501,16,16,50.00
75.001,16,16,50.00
75.501,16,16,50.00
76.000,16,16,50.00
